Nombre,Ciudad,Dirección,Detalles,Latitud,Longitud,URL_Imagen1,URL_Imagen2,URL_Imagen3,URL_Imagen4,phone,email,URL
Coworking Wekow Balmes y Rosselló,Barcelona,"Carrer del Rosselló, 198, Eixample, 08008 Barcelona, España",Espacio coworking en Barcelona. Valoración: 4.7,41.3930058,2.15729,/uploads/coworking/coworking_coworking_wekow_balmes_y_rosselló_1.jpg,/uploads/coworking/coworking_coworking_wekow_balmes_y_rosselló_2.jpg,/uploads/coworking/coworking_coworking_wekow_balmes_y_rosselló_3.jpg,/uploads/coworking/coworking_coworking_wekow_balmes_y_rosselló_4.jpg,608 01 47 50,,https://wekow.com/
GWC Coworking Barcelona,Barcelona,"Passeig d'Amunt, 7, Bajos, Gracia, 08024 Barcelona, España",Espacio coworking en Barcelona. Valoración: 4.6,41.409851,2.159379,/uploads/coworking/coworking_gwc_coworking_barcelona_1.jpg,/uploads/coworking/coworking_gwc_coworking_barcelona_2.jpg,/uploads/coworking/coworking_gwc_coworking_barcelona_3.jpg,/uploads/coworking/coworking_gwc_coworking_barcelona_4.jpg,932 50 96 58,,https://graciaworkcenter.com/
Cloudworks 22@ | Coworking y oficinas privadas,Barcelona,"Carrer de Pere IV, 64, Sant Martí, 08005 Barcelona, España",Espacio coworking en Barcelona. Valoración: 4.5,41.3963322,2.1927124,/uploads/coworking/coworking_cloudworks_22__coworking_y_oficinas_privadas_1.jpg,/uploads/coworking/coworking_cloudworks_22__coworking_y_oficinas_privadas_2.jpg,/uploads/coworking/coworking_cloudworks_22__coworking_y_oficinas_privadas_3.jpg,/uploads/coworking/coworking_cloudworks_22__coworking_y_oficinas_privadas_4.jpg,930 18 09 15,,https://wearecloudworks.com/coworking/22-glories/
Utopicus Glòries - Oficinas & Coworking,Barcelona,"Carrer de la Ciutat de Granada, 150, Sant Martí, 08018 Barcelona, España",Espacio coworking en Barcelona. Valoración: 4.7,41.4031028,2.1922907,/uploads/coworking/coworking_utopicus_glòries__oficinas__coworking_1.jpg,/uploads/coworking/coworking_utopicus_glòries__oficinas__coworking_2.jpg,/uploads/coworking/coworking_utopicus_glòries__oficinas__coworking_3.jpg,/uploads/coworking/coworking_utopicus_glòries__oficinas__coworking_4.jpg,934 92 90 59,,https://utopicus.es/utopicus-glories?utm-source=google&utm-medium=organic&utm_campaign=google-local_BCN-GLO
Cwork Coworking Barcelona,Barcelona,"Carrer de Provença, 555, Sant Martí, 08026 Barcelona, España",Espacio coworking en Barcelona. Valoración: 5,41.4092758,2.1808222,/uploads/coworking/coworking_cwork_coworking_barcelona_1.jpg,/uploads/coworking/coworking_cwork_coworking_barcelona_2.jpg,/uploads/coworking/coworking_cwork_coworking_barcelona_3.jpg,/uploads/coworking/coworking_cwork_coworking_barcelona_4.jpg,616 67 39 81,,https://cwork.cat/
Cwork Coworking Barcelona,Barcelona,"Carrer de Martí, 110, Gràcia, 08024 Barcelona, España",Espacio coworking en Barcelona. Valoración: 4.9,41.4092581,2.1599411,/uploads/coworking/coworking_cwork_coworking_barcelona_1.jpg,/uploads/coworking/coworking_cwork_coworking_barcelona_2.jpg,/uploads/coworking/coworking_cwork_coworking_barcelona_3.jpg,/uploads/coworking/coworking_cwork_coworking_barcelona_4.jpg,616 67 39 81,,https://cwork.cat/
Utopicus Torre Marenostrum - Oficinas & Coworking,Barcelona,"Pl. del Gas, 1, Edificio B, Ciutat Vella, 08003 Barcelona, España",Espacio coworking en Barcelona. Valoración: 4.7,41.3833433,2.1904432,/uploads/coworking/coworking_utopicus_torre_marenostrum__oficinas__coworking_1.jpg,/uploads/coworking/coworking_utopicus_torre_marenostrum__oficinas__coworking_2.jpg,/uploads/coworking/coworking_utopicus_torre_marenostrum__oficinas__coworking_3.jpg,/uploads/coworking/coworking_utopicus_torre_marenostrum__oficinas__coworking_4.jpg,934 92 90 59,,https://utopicus.es/utopicus-torre-marenostrum?utm-source=google&utm-medium=organic&utm_campaign=google-local_BCN-TMN
Hueco by TribuApp - Oficina Diagonal,Barcelona,"Av. Diagonal, 449, 1, Eixample, 08036 Barcelona, España",Espacio coworking en Barcelona. Valoración: 4.2,41.3934974,2.1491128,,,,,938 81 84 09,,https://tieneshueco.com/es
ExpresHub coworking,Valencia,"Carrer de l'Alcalde Cano Coloma, 4, Camins al Grau, 46022 València, Valencia, España",Espacio coworking en Valencia. Valoración: 5,39.464777,-0.3368951,/uploads/coworking/coworking_expreshub_coworking_1.jpg,/uploads/coworking/coworking_expreshub_coworking_2.jpg,/uploads/coworking/coworking_expreshub_coworking_3.jpg,/uploads/coworking/coworking_expreshub_coworking_4.jpg,614 31 63 36,,http://coworking-valencia.pro/
COLLECTIVE,Valencia,"Carrer del Bisbe Jaume Pérez, 13, Quatre Carreres, 46004 València, Valencia, España",Espacio coworking en Valencia. Valoración: 5,39.4591672,-0.3661327,/uploads/coworking/coworking_collective_1.jpg,/uploads/coworking/coworking_collective_2.jpg,/uploads/coworking/coworking_collective_3.jpg,/uploads/coworking/coworking_collective_4.jpg,722 51 05 00,,https://linkbe.me/Collective
Garage Coworking València,Valencia,"Pl. de Vicent Iborra, 8, bajo izquierda, Ciutat Vella, 46003 Valencia, España",Espacio coworking en Valencia. Valoración: 5,39.4773781,-0.3815251,/uploads/coworking/coworking_garage_coworking_valència_1.jpg,/uploads/coworking/coworking_garage_coworking_valència_2.jpg,/uploads/coworking/coworking_garage_coworking_valència_3.jpg,/uploads/coworking/coworking_garage_coworking_valència_4.jpg,601 06 50 45,,https://coworking-valencia.com/
Wayco Ruzafa | Coworking Valencia,Valencia,"C/ de l'Almirall Cadarso, 26, L'Eixample, 46005 València, Valencia, España",Espacio coworking en Valencia. Valoración: 4.6,39.4644251,-0.3675184,/uploads/coworking/coworking_wayco_ruzafa__coworking_valencia_1.jpg,/uploads/coworking/coworking_wayco_ruzafa__coworking_valencia_2.jpg,/uploads/coworking/coworking_wayco_ruzafa__coworking_valencia_3.jpg,/uploads/coworking/coworking_wayco_ruzafa__coworking_valencia_4.jpg,962 06 23 24,,https://wayco.es/
Red Coworking Valencia,Valencia,"C. Martínez Aloy, 3, bajo izquierdo, Extramurs, 46007 Valencia, España",Espacio coworking en Valencia. Valoración: 5,39.46374369999999,-0.3864418,/uploads/coworking/coworking_red_coworking_valencia_1.jpg,/uploads/coworking/coworking_red_coworking_valencia_2.jpg,/uploads/coworking/coworking_red_coworking_valencia_3.jpg,/uploads/coworking/coworking_red_coworking_valencia_4.jpg,646 96 96 88,,https://redcoworkingvalencia.com/
